iter	Passed	Remaining
0	7	7768
1	14	7243
2	21	7075
3	28	6977
4	34	6866
5	41	6803
6	47	6756
7	54	6712
8	60	6676
9	67	6650
10	73	6634
11	80	6637
12	87	6616
13	93	6600
14	100	6585
15	106	6568
16	113	6550
17	120	6547
18	126	6530
19	133	6517
20	139	6500
21	143	6375
22	149	6369
23	156	6365
24	163	6357
25	169	6352
26	176	6348
27	182	6342
28	190	6381
29	197	6382
30	205	6421
31	213	6460
32	220	6457
33	226	6444
34	233	6433
35	239	6425
36	246	6417
37	253	6408
38	259	6400
39	266	6390
40	272	6380
41	279	6373
42	285	6365
43	292	6356
44	299	6349
45	305	6337
46	310	6298
47	317	6288
48	323	6281
49	330	6272
50	336	6264
51	343	6255
52	349	6245
53	356	6237
54	362	6230
55	369	6221
56	375	6212
57	381	6203
58	389	6214
59	398	6239
60	406	6260
61	413	6254
62	421	6265
63	429	6279
64	436	6273
65	442	6266
66	449	6259
67	455	6249
68	462	6243
69	473	6295
70	483	6330
71	490	6319
72	496	6310
73	503	6300
74	509	6289
75	517	6297
76	525	6301
77	532	6297
78	539	6289
79	546	6279
80	552	6269
81	558	6257
82	566	6257
83	573	6248
84	579	6240
85	587	6241
86	595	6249
87	602	6248
88	609	6238
89	617	6243
90	624	6234
91	630	6224
92	637	6214
93	643	6206
94	650	6195
95	657	6186
96	663	6177
97	670	6169
98	677	6161
99	683	6155
100	690	6147
101	697	6138
102	704	6131
103	710	6121
104	717	6111
105	723	6103
106	730	6093
107	736	6085
108	743	6076
109	749	6067
110	756	6059
111	763	6049
112	769	6040
113	776	6031
114	783	6029
115	790	6027
116	798	6026
117	806	6030
118	813	6023
119	820	6018
120	828	6015
121	834	6007
122	841	6000
123	848	5991
124	854	5982
125	861	5972
126	867	5964
127	874	5956
128	880	5947
129	887	5941
130	894	5935
131	901	5926
132	908	5919
133	914	5911
134	921	5902
135	927	5894
136	934	5886
137	940	5877
138	947	5869
139	954	5861
140	960	5852
141	967	5844
142	974	5837
143	981	5836
144	989	5833
145	998	5839
146	1005	5834
147	1012	5826
148	1018	5818
149	1025	5809
150	1031	5800
151	1038	5792
152	1044	5784
153	1052	5783
154	1060	5781
155	1066	5772
156	1073	5765
157	1080	5756
158	1086	5748
159	1092	5733
160	1099	5730
161	1107	5730
162	1114	5722
163	1121	5714
164	1127	5706
165	1134	5698
166	1140	5690
167	1147	5681
168	1153	5673
169	1160	5664
170	1166	5656
171	1173	5648
172	1181	5646
173	1190	5649
174	1196	5641
175	1203	5633
176	1211	5631
177	1217	5623
178	1224	5614
179	1230	5606
180	1237	5598
181	1243	5590
182	1250	5582
183	1256	5573
184	1263	5565
185	1269	5556
186	1276	5549
187	1282	5540
188	1289	5532
189	1296	5526
190	1302	5518
191	1309	5511
192	1315	5502
193	1322	5493
194	1328	5485
195	1335	5476
196	1341	5467
197	1347	5459
198	1354	5451
199	1360	5443
200	1367	5435
201	1373	5427
202	1381	5425
203	1388	5417
204	1396	5415
205	1404	5415
206	1411	5407
207	1417	5399
208	1424	5392
209	1431	5384
210	1437	5377
211	1444	5369
212	1450	5360
213	1457	5352
214	1463	5343
215	1470	5336
216	1476	5328
217	1483	5320
218	1489	5312
219	1496	5304
220	1502	5296
221	1509	5288
222	1515	5280
223	1521	5272
224	1528	5264
225	1534	5255
226	1541	5247
227	1547	5239
228	1553	5231
229	1560	5224
230	1566	5216
231	1573	5208
232	1581	5206
233	1590	5206
234	1598	5203
235	1604	5195
236	1611	5187
237	1617	5179
238	1624	5172
239	1630	5164
240	1637	5156
241	1644	5149
242	1650	5141
243	1656	5133
244	1663	5125
245	1669	5117
246	1676	5109
247	1682	5102
248	1689	5094
249	1695	5086
250	1701	5078
251	1708	5070
252	1714	5062
253	1721	5055
254	1727	5047
255	1734	5040
256	1740	5032
257	1747	5025
258	1753	5018
259	1760	5010
260	1766	5002
261	1773	4994
262	1781	4991
263	1787	4984
264	1795	4979
265	1804	4978
266	1811	4972
267	1818	4965
268	1824	4959
269	1831	4951
270	1838	4944
271	1844	4936
272	1850	4929
273	1857	4921
274	1864	4914
275	1870	4907
276	1877	4900
277	1883	4892
278	1890	4885
279	1897	4878
280	1903	4870
281	1910	4863
282	1916	4855
283	1923	4848
284	1929	4840
285	1936	4833
286	1942	4825
287	1949	4818
288	1955	4811
289	1962	4803
290	1968	4796
291	1975	4789
292	1983	4785
293	1991	4781
294	1998	4775
295	2004	4768
296	2012	4762
297	2019	4757
298	2025	4749
299	2032	4742
300	2039	4735
301	2045	4727
302	2052	4720
303	2058	4713
304	2065	4706
305	2071	4698
306	2078	4691
307	2084	4684
308	2091	4676
309	2097	4669
310	2104	4661
311	2110	4654
312	2117	4646
313	2123	4639
314	2130	4632
315	2136	4624
316	2143	4617
317	2149	4609
318	2155	4602
319	2162	4594
320	2168	4587
321	2175	4579
322	2183	4575
323	2189	4568
324	2196	4562
325	2206	4560
326	2212	4554
327	2219	4546
328	2225	4539
329	2232	4532
330	2238	4524
331	2245	4517
332	2251	4509
333	2257	4502
334	2264	4494
335	2270	4487
336	2277	4479
337	2283	4472
338	2289	4465
339	2296	4457
340	2302	4450
341	2309	4442
342	2315	4435
343	2321	4427
344	2328	4420
345	2334	4412
346	2341	4405
347	2347	4398
348	2353	4390
349	2360	4383
350	2366	4375
351	2373	4368
352	2380	4363
353	2387	4357
354	2396	4353
355	2403	4348
356	2410	4341
357	2416	4334
358	2423	4326
359	2429	4319
360	2436	4311
361	2442	4304
362	2448	4297
363	2455	4289
364	2461	4282
365	2468	4275
366	2474	4268
367	2481	4261
368	2487	4253
369	2493	4246
370	2500	4238
371	2506	4231
372	2512	4223
373	2519	4216
374	2525	4209
375	2531	4201
376	2538	4194
377	2544	4187
378	2551	4180
379	2557	4173
380	2564	4165
381	2570	4158
382	2577	4152
383	2585	4148
384	2593	4143
385	2600	4136
386	2607	4130
387	2614	4124
388	2621	4117
389	2627	4109
390	2633	4102
391	2640	4095
392	2646	4087
393	2653	4080
394	2659	4073
395	2665	4065
396	2672	4058
397	2678	4051
398	2684	4044
399	2691	4037
400	2697	4030
401	2704	4022
402	2710	4015
403	2717	4008
404	2723	4001
405	2729	3993
406	2736	3986
407	2742	3979
408	2749	3972
409	2755	3965
410	2761	3958
411	2768	3950
412	2775	3945
413	2782	3938
414	2788	3931
415	2797	3927
416	2804	3920
417	2810	3913
418	2817	3907
419	2824	3900
420	2831	3893
421	2837	3886
422	2843	3879
423	2850	3872
424	2856	3864
425	2863	3857
426	2869	3850
427	2875	3843
428	2882	3836
429	2888	3829
430	2894	3821
431	2901	3814
432	2907	3807
433	2914	3800
434	2920	3793
435	2926	3786
436	2933	3779
437	2939	3772
438	2946	3764
